taxon	Jumper	Laggard	rel_abund_jumper_pct	rel_abund_laggard_pct	fold_diff	direction	exclusive_to	predicted_function	pathways	category	evidence_basis	literature_refs	contaminant_flag	contaminant_reason	contaminant_note
Pseudomonas fluvialis	0	2	0.0	0.3929		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas frederiksbergensis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas guangdongensis	0	4	0.0	0.7859		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas humi	0	3	0.0	0.5894		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas luteola	0	2	0.0	0.3929		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas marincola	0	6	0.0	1.1788		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas massiliensis	0	2	0.0	0.3929		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas mediterranea	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas mendocina	0	3	0.0	0.5894		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas mucidolens	0	2	0.0	0.3929		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas oleovorans	0	3	0.0	0.5894		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas oryzae	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas oryzihabitans	0	19	0.0	3.7328		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas pharmacofabricae	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas phenolilytica	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas psychrophila	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas putida	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas savastanoi	0	4	0.0	0.7859		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas schmalbachii	0	2	0.0	0.3929		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas seleniipraecipitans	0	2	0.0	0.3929		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas syringae	0	2	0.0	0.3929		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas tarimensis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas tolaasii	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas viridiflava	0	4	0.0	0.7859		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas zeshuii	0	4	0.0	0.7859		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Rahnella bonaserana	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Roseibium sediminis	0	6	0.0	1.1788		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Salinirepens amamiensis	0	2	0.0	0.3929		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Stutzerimonas stutzeri	0	9	0.0	1.7682		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Tatumella terrea	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Vineibacter terrae	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Yersinia ruckeri	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
